"Label","Quantity","Designator"
"VRB4812ZP-6WR3 ф.†MORNSUN","1","A1"
"NEO-M8U ф.†u-blox","1","A2"
"TEMD5510FX01","1","BL1"
"APA3010P3BT","1","BL2"
"керам. Ц чип†0603 Ц NP0 Ц 50†¬ Ц 1†п‘†±†0,1†п‘","1","C1"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,1†мк‘†±†10†%","6","C2, C9, C10, C11, C12, C13"
"ECHU1H184GX9 ф.†Panasonic (плЄн. Ц чип†2416 Ц PPS Ц 50†¬ Ц 0,18†мк‘†±†2†%)","1","C3"
"GRM32EC81C476KE15 ф.†Murata (керам. Ц чип†1210 Ц X6S Ц 16†¬ Ц 47†мк‘†±†10†%)","1","C4"
"593D476X9016C ф.†Vishay (тант. Ц чип†C Ц 16†¬ Ц 47†мк‘†±†10†% Ц низк.†имп.)","1","C5"
"B41858C9477M ф.†EPCOS (алюм.†эл-лит Ц выводной†рад.†18x36 Ц 100†¬ Ц 470†мк‘†±†20†% Ц низк.†имп.)|прим. не старше 1 года","1","C6"
"A755MS108M1CAAE012 ф.†KEMET (алюм.†полим. Ц выводной†рад.†10x12 Ц 16†¬ Ц 1000†мк‘†±†20†%)","1","C7"
" онденсатор  58-26 Ц 2,7¬ Ц 100‘ (+50Е-20)% Ц ≈¬јя.673811.006“” ф.†јќ ЂЁлекондї (ионистор Ц выводной†рад.†20x40 Ц 2,7†¬ Ц 100†‘†+50†Е†-20†%)","1","C8"
"керам. Ц чип†0603 Ц X7R Ц 16†¬ Ц 1†мк‘†±†10†%","24","C19A, C19B, C19C, C19D, C19E, C19F, C19G, C19H, C20A, C20B, C20C, C20D, C20E, C20F, C20G, C20H, C21A, C21B, C21C, C21D, C21E, C21F, C21G, C21H"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,01†мк‘†±†10†%","3","C22A, C23A, C24A"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,022†мк‘†±†10†%","3","C22B, C23B, C24B"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,033†мк‘†±†10†%","3","C22C, C23C, C24C"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,047†мк‘†±†10†%","3","C22D, C23D, C24D"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,056†мк‘†±†10†%","3","C22E, C23E, C24E"
"керам. Ц чип†0603 Ц X7R Ц 50†¬ Ц 0,068†мк‘†±†10†%","3","C22F, C23F, C24F"
