Designator,BOM_type,BOM_value,BOM_description,BOM_manufacturer,BOM_explicit,BOM_substitute,BOM_note,BOM_accessory,Footprint,Quantity,Fitted,UniqueIdName,UniqueIdPath
"C22A","Конденсатор","CC0603KRX7R9BB103","керам., чип 0603, X7R, 0.01мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\1WFVINQYM"
"C22B","Конденсатор","CC0603KRX7R9BB223","керам., чип 0603, X7R, 0.022мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\2WFVINQYM"
"C22C","Конденсатор","CC0603KRX7R9BB333","керам., чип 0603, X7R, 0.033мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\3WFVINQYM"
"C22D","Конденсатор","CC0603KRX7R9BB473","керам., чип 0603, X7R, 0.047мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\4WFVINQYM"
"C22E","Конденсатор","CC0603KRX7R9BB563","керам., чип 0603, X7R, 0.056мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\5WFVINQYM"
"C22F","Конденсатор","CC0603KRX7R9BB683","керам., чип 0603, X7R, 0.068мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\6WFVINQYM"
"C22G","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","QYJNLARE","\HWAQRLSS\7WFVINQYM"
"C22H","Конденсатор","CC0603KRX7R9BB823","керам., чип 0603, X7R, 0.082мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","QYJNLARE","\HWAQRLSS\8WFVINQYM"
"C23A","Конденсатор","CC0603KRX7R9BB103","керам., чип 0603, X7R, 0.01мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\1WFVINQYM"
"C23B","Конденсатор","CC0603KRX7R9BB223","керам., чип 0603, X7R, 0.022мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\2WFVINQYM"
"C23C","Конденсатор","CC0603KRX7R9BB333","керам., чип 0603, X7R, 0.033мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\3WFVINQYM"
"C23D","Конденсатор","CC0603KRX7R9BB473","керам., чип 0603, X7R, 0.047мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\4WFVINQYM"
"C23E","Конденсатор","CC0603KRX7R9BB563","керам., чип 0603, X7R, 0.056мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\5WFVINQYM"
"C23F","Конденсатор","CC0603KRX7R9BB683","керам., чип 0603, X7R, 0.068мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\6WFVINQYM"
"C23G","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","VUDPERHP","\HWAQRLSS\7WFVINQYM"
"C23H","Конденсатор","CC0603KRX7R9BB823","керам., чип 0603, X7R, 0.082мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VUDPERHP","\HWAQRLSS\8WFVINQYM"
"C24A","Конденсатор","CC0603KRX7R9BB103","керам., чип 0603, X7R, 0.01мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\1WFVINQYM"
"C24B","Конденсатор","CC0603KRX7R9BB223","керам., чип 0603, X7R, 0.022мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\2WFVINQYM"
"C24C","Конденсатор","CC0603KRX7R9BB333","керам., чип 0603, X7R, 0.033мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\3WFVINQYM"
"C24D","Конденсатор","CC0603KRX7R9BB473","керам., чип 0603, X7R, 0.047мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\4WFVINQYM"
"C24E","Конденсатор","CC0603KRX7R9BB563","керам., чип 0603, X7R, 0.056мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\5WFVINQYM"
"C24F","Конденсатор","CC0603KRX7R9BB683","керам., чип 0603, X7R, 0.068мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\6WFVINQYM"
"C24G","Конденсатор","CC0603KRX7R9BB104","керам., чип 0603, X7R, 0.1мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","0","Not Fitted","VMHKASBQ","\HWAQRLSS\7WFVINQYM"
"C24H","Конденсатор","CC0603KRX7R9BB823","керам., чип 0603, X7R, 0.082мкФ ±10%, 50В","YAGEO","false","","","","MLCC_0603","1","Fitted","VMHKASBQ","\HWAQRLSS\8WFVINQYM"
"DA1","Оптосимистор","MOC3063M","детектор нуля","","true","","","","DIP-6","1","Fitted","VWXXRMSM","\AJRYFSIR"
"DA2","Микросхема","TPS561201DDC","","Texas Instruments","true","TPS562201DDC@Texas Instruments*огр. тока 2А;TPS563201DDC@Texas Instruments*огр. тока 3А","","","SOT-23-6","1","Fitted","YFBPJVDV","\AJRYFSIR"
"DA3","Микросхема","LP5907MFX-3.3","","Texas Instruments","true","","","","SOT-23-5","1","Fitted","FNCKCDSX","\AJRYFSIR"
"DD1","Микросхема","SN74LVC1G126DBV","","Texas Instruments","true","","","","SOT-23-5","1","Fitted","VTFXOFCG","\AJRYFSIR"
"DD2","Микросхема","SCM3725ASA","","MORNSUN Guangzhou Science & Technology Co., Ltd.","true","","","","SO-8","1","Fitted","NPSQGPHI","\AJRYFSIR"
"DD3","Осциллятор","ECS-3225MV-250-CN","кварц., 25МГц ±25ppm, -40…85°C","ECS Inc.","true","","","","4-SMD_3225-1.20","1","Fitted","JRVGTPNG","\AJRYFSIR"
"EF1","Крепёж","SMTSO-M2-2ET","стойка, SMD, M2*0.4, 2мм","PEM","true","","","","SMTSO-M2-2","1","Fitted","CLEGAEPY","\AJRYFSIR"
"ER1","Радиатор","FK 244 13 D2 PAK","","Fischer Elektronik","true","","","","FK244-13-D2PAK","1","Fitted","RSWSYKRX","\AJRYFSIR"
"FP1","Предохранитель","MF-MSMF014","самовосст., чип 1812, 140мА, 60В","Bourns","true","","","","MF-MSMF-S1","1","Fitted","OAFKDVUH","\AJRYFSIR"
"FU1","Предохранитель","0451001.","плавкий, чип 2410, 1А, 0.6029А?с, быстрый","Littelfuse, Inc.","true","","","","FC_2410","1","Fitted","JBKLAJWX","\AJRYFSIR"
"FU2","Предохранитель","ZH242","держатель","","true","","","Предохранитель: 520.517 @ ESKA Erich Schweizer (плавкий, цил. 5*20, 1А, 250В, 0.2А?с, быстрый) #2 *один запасной","ZH242","1","Fitted","ASQGIQYB","\AJRYFSIR"
"FU3","Предохранитель","ZH250","держатель","","true","","","Предохранитель: 0215002.MXP @ Littlefuse (плавкий, цил. 5*20, 2А, 250В, 11.680А?с, медленный) #1","ZH250","1","Fitted","MPMAQTSO","\UAOCNQIK"
"FU4","Предохранитель","ZH242","держатель","","true","","","Предохранитель: 520.517 @ ESKA Erich Schweizer (плавкий, цил. 5*20, 1А, 250В, 0.2А?с, быстрый) #2 *один запасной","ZH242","1","Fitted","MDFQMUWI","\UAOCNQIK"
"FU5","Предохранитель","ZH250","держатель","","true","","","Предохранитель: 520.517 @ ESKA Erich Schweizer (плавкий, цил. 5*20, 1А, 250В, 0.2А?с, быстрый) #1","ZH250","1","Fitted","PSFTTCAN","\UAOCNQIK"
"FV1","Варистор","B72540T0400K062","чип 2220, 68В, 1кА, 9Дж","TDK","true","","","","VC_2220","1","Fitted","PEFKIILQ","\AJRYFSIR"
"FV2","Супрессор","SMBJ6.5CA","двунаправ., 6.5В, 600Вт @ 10/1000мкс","","true","","","","DO-214AA (SMB)","1","Fitted","TXXBPXNA","\AJRYFSIR"
"FV3","Супрессор","SMBJ5.0A","однонаправ., 5В, 600Вт @ 10/1000мкс","","true","","","","DO-214AA (SMB)","1","Fitted","UHRLADJA","\AJRYFSIR"
"FV4","Супрессор","GSOT05C-E3-08","сборка","","true","","","","SOT-23","1","Fitted","PFRVMRTR","\AJRYFSIR"
"FV5","Супрессор","CDSOT23-T24CAN","сборка","Bourns","true","","","","SOT-23","1","Fitted","HYPQIPFP","\AJRYFSIR"
"GB1","Элемент гальванический","CR 1/2 AA S PCBD","","VARTA","true","","","","CR 1/2 AA S PCBD","1","Fitted","QWKGPFWL","\AJRYFSIR"
"GB2","Батарея","BR-2325/2HAN","","","true","","","","","1","Fitted","KYPWVVDS","\AJRYFSIR"
"GB3","Элемент гальванический","DS1092-04-B6P","держатель, CR2032","Connfly","true","BH-25F-1@Adam Tech;BS-7@Memory Protection Devices","","Элемент гальванический: CR2032 (3В, 225мАч)","BH-25F-1","1","Fitted","AUPSMLRT","\AJRYFSIR"
"GB4","Элемент гальванический","BH-25F-1","держатель, CR2032","Adam Tech","true","DS1092-04-B6P@Connfly;BS-7@Memory Protection Devices","","Элемент гальванический: CR2032 (3В, 225мАч)","BH-25F-1","1","Fitted","LNFTPOCB","\UAOCNQIK"
"HG1","Дисплей","CC56-12SRWA","светодиодный, 7-сегм., красный, сборка 4x8CC","Kingbright","true","","","","Cx56-12","1","Fitted","XTUAGFUL","\AJRYFSIR"
"HL1","Светодиод","KP-1608F3C","инфракрасный, 940нм, 150°","Kingbright","true","","","","LEDC_0603-0.75","1","Fitted","BYPMHTRX","\AJRYFSIR"
"HL2","Светодиод","KPT-1608SURCK","красный, 645/630нм, 230мкд @ 20мА, 120°","","true","","","","LEDC_0603-0.75","1","Fitted","ASLWMOHE","\AJRYFSIR"
"HL3","Светодиод","KPA-3010CGCK","зелёный, 574/570нм, 50мкд @ 20мА, 120°","","true","","","","LEDC_3020R-1.00","1","Fitted","UWBATWRV","\AJRYFSIR"
"HL4","Светодиод","KPT-1608QBC-D","синий, 460/465нм, 100мкд @ 20мА, 130°","","true","","","","LEDC_0603-0.75","1","Fitted","NTIJGODL","\AJRYFSIR"
"HL5","Светодиод","KPT-1608SYCK","жёлтый, 590нм, 150мкд @ 20мА, 120°","","true","","","","LEDC_0603-0.75","1","Fitted","JUSAQKCA","\AJRYFSIR"
"HL6","Светодиод","XPCWHT-L1-0000-008E5","белый, 4000K, 73.9лм @ 350мА, CRI 75","Cree","true","","","","XP-C","1","Fitted","TSNISJDR","\AJRYFSIR"
"HL7","Светодиод","SMP6-RGB","многоцветный","Bivar","true","","","","PLCC-6","1","Fitted","CODUNWVF","\AJRYFSIR"
"HL8","Светодиод","KPBDA-3020SURKCGKC-PF","многоцветный, сборка 1x2CA","Kigbright","true","","","","KPBDA-3020","1","Fitted","MNSJDOIM","\AJRYFSIR"
"HL9","Светодиод","AM23ESGW","многоцветный, сборка 1x2CC","Kingbright","true","","","","","1","Fitted","UDUTYHRQ","\AJRYFSIR"
"J1","Перемычка","RC0402JR-070RL","чип 0402","YAGEO","false","","","","RC_0402","1","Fitted","NSCPYDHJ","\AJRYFSIR"
"K1","Реле","RZ03-1A4-D012","","TE Connectivity","true","","","","RZxx-5.0","1","Fitted","QXGWEITQ","\AJRYFSIR"
"K2","Реле","T9GV2L24-12","","TE Connectivity","true","","","","","1","Fitted","YBDDMNJM","\AJRYFSIR"
"K3","Реле","RT214012","","TE Connectivity","true","","","","BS-115C","1","Fitted","RFQRNYHB","\AJRYFSIR"
"K4","Реле","V23105A5476A201","","TE Connectivity","true","","","","","1","Fitted","JOBVUUDB","\AJRYFSIR"
"L1","Индуктивность","NL453232T-100K","чип 1812, 10мкГн ±10%, 250мА","","false","","","","LC_1812","1","Fitted","IBYWRELB","\AJRYFSIR"
"L2","Дроссель","SRU1048-470Y","47мкГн ±30%, 1.5А","Bourns","true","","","","SRU1048","1","Fitted","DWBUEIOP","\AJRYFSIR"
"L3","Индуктивность","NL453232T-100K","чип 1812, 10мкГн ±10%, 250мА","","false","","","","LC_1812","1","Fitted","WBUHERBV","\UAOCNQIK"
"L4","Индуктивность","NL453232T-100K","чип 1812, 10мкГн ±10%, 250мА","","false","","","","LC_1812","1","Fitted","QXAGWVCR","\UAOCNQIK"
"L5","Индуктивность","NL453232T-100K","чип 1812, 10мкГн ±10%, 250мА","","false","","","","LC_1812","1","Fitted","NNRTBSMC","\UAOCNQIK"
"L6","Дроссель","SRU1048-470Y","47мкГн ±30%, 1.5А","Bourns","true","","","","SRU1048","1","Fitted","ASUIKMKC","\UAOCNQIK"
"L7","Дроссель","SRU1048-470Y","47мкГн ±30%, 1.5А","Bourns","true","","","","SRU1048","1","Fitted","FTFHISJC","\UAOCNQIK"
"L8","Дроссель","SRU1048-470Y","47мкГн ±30%, 1.5А","Bourns","true","","","","SRU1048","1","Fitted","YWJFWVRX","\UAOCNQIK"
"L9","Дроссель","SRN6045TA-2R2Y","2.2мкГн ±30%, 6А","Bourns","true","","","","SRN6045TA","1","Fitted","XSLFFBOV","\UAOCNQIK"
"L10","Дроссель","SRN6045TA-2R2Y","2.2мкГн ±30%, 6А","Bourns","true","","","","SRN6045TA","1","Fitted","YWBYXWSK","\UAOCNQIK"
"L11","Дроссель","SRR0604-100ML","10мкГн ±20%, 1.3А","Bourns","true","","","","SRR0604","1","Fitted","YGAWVYME","\UAOCNQIK"
"L12","Дроссель","SRN6045TA-2R2Y","2.2мкГн ±30%, 6А","Bourns","true","","","","SRN6045TA","0","Not Fitted","QWDYADUD","\UAOCNQIK"
"R1","Резистор","RC0603JR-0710KL","чип 0603, 10кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","LLKPMGQO","\AJRYFSIR"
"R2","Резистор","RT0603DRD0747KL","чип 0603, 47кОм ±0.5%, ±25ppm/°C","YAGEO","false","","","","RC_0603","1","Fitted","TPPQBXTM","\AJRYFSIR"
"R3","Резистор","RV0805JR-071ML","чип 0805, 10кОм ±5%, 400В","YAGEO","true","","","","RC_0805","1","Fitted","BACYRTGU","\AJRYFSIR"
"R4","Резистор","RC0603JR-07100KL","чип 0603, 100кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","WKBCDAHR","\UAOCNQIK"
"R5","Резистор","RC0603JR-07100KL","чип 0603, 100кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","VWRJJMVJ","\UAOCNQIK"
"R6","Резистор","RC0603JR-07100KL","чип 0603, 100кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","VTPABDYA","\UAOCNQIK"
"R7","Резистор","RC0603FR-07100KL","чип 0603, 100кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","DAEAAAYE","\UAOCNQIK"
"R8","Резистор","RC0603FR-07200KL","чип 0603, 200кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","GAFOQQUJ","\UAOCNQIK"
"R9","Резистор","RC0603JR-07300KL","чип 0603, 300кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","YAXQRVPX","\UAOCNQIK"
"R10","Резистор","RC0603FR-07300KL","чип 0603, 300кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BUQVVIEB","\UAOCNQIK"
"R11","Резистор","RC0603JR-07300KL","чип 0603, 300кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","OONFFOCC","\UAOCNQIK"
"R12","Резистор","RC0603FR-07300KL","чип 0603, 300кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","URSDQOVO","\UAOCNQIK"
"R13","Резистор","RC0603JR-07470KL","чип 0603, 470кОм ±5%","YAGEO","false","","","","RC_0603","1","Fitted","UOUIRWRN","\UAOCNQIK"
"R14A","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\1XVOCRVMY"
"R14B","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\2XVOCRVMY"
"R14C","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\3XVOCRVMY"
"R14D","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\4XVOCRVMY"
"R14E","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\5XVOCRVMY"
"R14F","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\6XVOCRVMY"
"R14G","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\7XVOCRVMY"
"R14H","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","EJFNRRTR","\HWAQRLSS\8XVOCRVMY"
"R15A","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\1XVOCRVMY"
"R15B","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\2XVOCRVMY"
"R15C","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\3XVOCRVMY"
"R15D","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\4XVOCRVMY"
"R15E","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\5XVOCRVMY"
"R15F","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\6XVOCRVMY"
"R15G","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\7XVOCRVMY"
"R15H","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BQYDVNLN","\HWAQRLSS\8XVOCRVMY"
"R16A","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\1XVOCRVMY"
"R16B","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\2XVOCRVMY"
"R16C","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\3XVOCRVMY"
"R16D","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\4XVOCRVMY"
"R16E","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\5XVOCRVMY"
"R16F","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\6XVOCRVMY"
"R16G","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\7XVOCRVMY"
"R16H","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","PJTPEQQV","\HWAQRLSS\8XVOCRVMY"
"R17A","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BXUHRLFI","\HWAQRLSS\1WFVINQYM"
"R17B","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BXUHRLFI","\HWAQRLSS\2WFVINQYM"
"R17C","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BXUHRLFI","\HWAQRLSS\3WFVINQYM"
"R17D","Резистор","RC0603FR-071KL","чип 0603, 1кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BXUHRLFI","\HWAQRLSS\4WFVINQYM"
"R17E","Резистор","RC0603FR-074K7L","чип 0603, 4.7кОм ±1%","YAGEO","false","","","","RC_0603","1","Fitted","BXUHRLFI","\HWAQRLSS\5WFVINQYM"
